Time, Plan, Executed
0, 1, 0
0, 2, 0
0, 3, 0
0, 4, 0
0, 5, 0
0.25, 6, 0
0.269, 7, 0
1.517, 8, 0
1.605, 9, 0
1.605, 10, 0
2.097, 11, 0
2.097, 12, 0
2.132, 13, 0
2.343, 14, 0
2.343, 15, 0
2.343, 16, 0
2.36, 17, 0
2.696, 18, 0
2.696, 19, 0
2.696, 20, 0
2.696, 21, 0
2.714, 22, 0
2.714, 23, 0
4.212, 21, 0
4.212, 22, 0
4.23, 23, 0
4.635, 24, 0
4.635, 25, 0
4.635, 26, 0
4.635, 27, 0
4.865, 28, 0
6.361, 26, 0
6.361, 27, 0
6.396, 28, 0
8.021, 24, 0
8.021, 25, 0
9.804, 19, 0
9.804, 20, 0
9.804, 21, 0
10.087, 22, 0
10.122, 23, 0
10.14, 24, 0
12.113, 16, 0
12.113, 17, 0
12.113, 18, 0
12.113, 19, 0
12.131, 20, 0
12.149, 21, 0
12.149, 22, 0
12.202, 23, 0
12.743, 24, 0
12.743, 25, 0
12.76, 26, 0
14.974, 16, 0
14.974, 17, 0
14.992, 18, 0
15.01, 19, 0
15.01, 20, 0
15.01, 21, 0
15.01, 22, 0
15.01, 23, 0
15.026, 24, 0
15.044, 25, 0
16.897, 26, 0
19.421, 14, 0
19.439, 15, 0
19.545, 16, 0
22.458, 2, 0
22.846, 3, 0
23.694, 4, 0
23.712, 5, 0
23.73, 6, 0
23.73, 7, 0
23.73, 8, 0
23.73, 9, 0
23.747, 10, 0
27.136, 2, 0
28.49, 3, 0
28.913, 4, 0
29.037, 5, 0
29.037, 6, 0
29.037, 7, 0
29.055, 8, 0
29.072, 9, 0
29.072, 10, 0
33.046, 2, 0
34.547, 3, 0
34.953, 4, 0
34.953, 5, 0
34.953, 6, 0
34.971, 7, 0
34.971, 8, 0
37.724, 9, 0
37.724, 10, 0
42.279, 10, 1
42.438, 2, 1
42.456, 3, 1
42.509, 4, 1
42.509, 5, 1
42.527, 6, 1
42.527, 7, 1
42.527, 8, 1
42.527, 9, 1
42.527, 10, 1
46.657, 10, 2
48.175, 4, 2
48.193, 5, 2
48.21, 6, 2
48.387, 7, 2
48.387, 8, 2
55.196, 4, 2
55.337, 5, 2
55.372, 6, 2
55.372, 7, 2
55.39, 8, 2
63.658, 4, 2
63.675, 5, 2
63.904, 6, 2
64.115, 7, 2
64.168, 8, 2
74.265, 4, 2
74.301, 5, 2
74.636, 6, 2
74.636, 7, 2
74.654, 8, 2
87.023, 4, 2
87.215, 5, 2
87.266, 6, 2
87.336, 7, 2
87.354, 8, 2
89.027, 8, 3
94.255, 8, 4
102.565, 6, 4
102.989, 7, 4
103.059, 8, 4
121.82, 6, 4
121.944, 7, 4
122.014, 8, 4
138.059, 8, 5
142.387, 8, 6
145.212, 8, 6
159.122, 8, 7
